"List of plants for wind, United States, all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=008&geo=g&sec=g&freq=A&datecode=2019&rtype=s&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=202003&start=200101"
"Wed Jun 10 2020 09:54:52 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"Fenton Wind Farm",56617,"MN","Electric utility non-cogen","WT","WND"
"Fey Windfarm LLC",56204,"MN","Electric utility non-cogen","WT","WND"
"Filet Wind (5) LLC",56561,"TX","Electric utility non-cogen","WT","WND"
"Findlay Wind Farm",60015,"OH","Industrial non-cogen","WT","WND"
"Fire Island Wind",58425,"AK","Electric utility non-cogen","WT","WND"
"Flat Iron Wind (7) LLC",56839,"TX","Electric utility non-cogen","WT","WND"
"Flat Ridge 2 Wind Energy LLC",57787,"KS","Electric utility non-cogen","WT","WND"
"Flat Ridge Wind Energy LLC",56879,"KS","Electric utility non-cogen","WT","WND"
"Flat Ridge Wind Farm",56819,"KS","Electric utility","WT","WND"
"Flat Top Wind I",61212,"TX","Electric utility non-cogen","WT","WND"
"Flat Water Wind Farm LLC",57283,"NE","Electric utility non-cogen","WT","WND"
"Florence Hills LLC",55574,"MN","Electric utility non-cogen","WT","WND"
"Fluvanna",59245,"TX","Electric utility non-cogen","WT","WND"
"Flying Cloud Power Partners LLC",56172,"IA","Electric utility non-cogen","WT","WND"
"Foard City Wind",61402,"TX","Electric utility non-cogen","WT","WND"
"Fontanelle",58457,"IA","Electric utility non-cogen","WT","WND"
"Foote Creek I",55607,"WY","Electric utility","WT","WND"
"Foote Creek II",55608,"WY","Electric utility non-cogen","WT","WND"
"Foote Creek III",55609,"WY","Electric utility non-cogen","WT","WND"
"Foote Creek IV",55610,"WY","Electric utility non-cogen","WT","WND"
"Forest Creek Wind Farm LLC",56394,"TX","Electric utility non-cogen","WT","WND"
"Fort Hays State University Wind Farm",61540,"KS","Commercial non-cogen","WT","WND"
"Forward Wind Energy Center",56942,"WI","Electric utility non-cogen","WT","WND"
"Forward Windpower LLC",56699,"PA","Electric utility non-cogen","WT","WND"
"Fossil Gulch",56308,"ID","Electric utility non-cogen","WT","WND"
"Foundation AB",57791,"CA","Electric utility non-cogen","WT","WND"
"Foundation CDCR LAC",61066,"CA","Electric utility non-cogen","WT","WND"
"Foundation California Training Facility",61442,"CA","Electric utility non-cogen","WT","WND"
"Foundation Cemex BMQ",58102,"CA","Electric utility non-cogen","WT","WND"
"Foundation Cemex Madison",58112,"CA","Electric utility non-cogen","WT","WND"
"Foundation Cemex River Plant",58101,"CA","Electric utility non-cogen","WT","WND"
"Foundation IE",57792,"CA","Electric utility non-cogen","WT","WND"
"Foundation Mann Packing",61443,"CA","Electric utility non-cogen","WT","WND"
"Foundation NWNA",58114,"CA","Electric utility non-cogen","WT","WND"
"Foundation RRM",58113,"CA","Electric utility non-cogen","WT","WND"
"Foundation ST",57626,"CA","Electric utility non-cogen","WT","WND"
"Foundation SaIinas Valley State Prison",61444,"CA","Electric utility non-cogen","WT","WND"
"Foundation Scheid Vineyards",61067,"CA","Electric utility non-cogen","WT","WND"
"Foundation Superior Farms",58104,"CA","Industrial non-cogen","WT","WND"
"Foundation Wal-Mart Red Bluff",58105,"CA","Commercial non-cogen","WT","WND"
"Four Corners Windfarm LLC",56969,"OR","Electric utility non-cogen","WT","WND"
"Four Mile Canyon Windfarm LLC",56970,"OR","Electric utility non-cogen","WT","WND"
"Fourmile Ridge",58904,"MD","Electric utility non-cogen","WT","WND"
"Fowler Ridge IV Wind Farm LLC",59547,"IN","Electric utility non-cogen","WT","WND"
"Fowler Ridge Wind Farm LLC",56777,"IN","Electric utility non-cogen","WT","WND"
"Fox Island Wind LLC",57354,"ME","Electric utility non-cogen","WT","WND"
"Franklin County Wind Farm",57844,"IA","Electric utility","WT","WND"
"Frontier Windpower",60218,"OK","Electric utility non-cogen","WT","WND"
"Future Generation Wind",59622,"MA","Electric utility non-cogen","WT","WND"
"G Flow Wind LLC",56588,"MN","Electric utility non-cogen","WT","WND"
"G McNeilus Wind Farm Dodge Center",56054,"MN","Electric utility non-cogen","WT","WND"
"GE - Tehachapi",57566,"CA","Electric utility non-cogen","WT","WND"
"GE-Lubbock",62642,"TX","Electric utility non-cogen","WT","WND"
"GL Wind",57813,"MN","Electric utility non-cogen","WT","WND"
"GPS Cabazon Wind LLC",50552,"CA","Electric utility non-cogen","WT","WND"
"GSG LLC",56450,"IL","Electric utility non-cogen","WT","WND"
"Galactic Wind",62161,"WI","Commercial non-cogen","WT","WND"
"Garden Wind LLC",57469,"IA","Electric utility non-cogen","WT","WND"
"Garnet Wind Energy Center",57302,"CA","Electric utility non-cogen","WT","WND"
"Geneseo",944,"IL","Electric utility","WT,IC,PV","WND,NG,DFO,SUN"
"Georgia Mountain Community Wind Farm",58238,"VT","Electric utility non-cogen","WT","WND"
"Glacier Hills",57199,"WI","Electric utility","WT","WND"
"Glaciers Edge Wind Project",62035,"IA","Electric utility non-cogen","WT","WND"
"Glen Ullin Energy Center",62938,"ND","Electric utility non-cogen","WT","WND"
"Glenrock",56841,"WY","Electric utility","WT","WND"
"Goat Wind LP",56754,"TX","Electric utility non-cogen","WT","WND"
"Golden Acorn Casino",59328,"CA","Commercial non-cogen","WT","WND"
"Golden Hills North Wind Energy Center",61222,"CA","Electric utility non-cogen","WT","WND"
"Golden Hills Wind",60049,"CA","Electric utility non-cogen","WT","WND"
"Golden Spread Panhandle Wnd Rch",57866,"TX","Electric utility","WT","WND"
"Golden Valley Wind Park LLC",56435,"ID","Electric utility non-cogen","WT","WND"
"Golden West Power Partners LLC",59974,"CO","Electric utility non-cogen","WT","WND"
"Goldthwaite Wind Energy Facility",58321,"TX","Electric utility non-cogen","WT","WND"
"Goodnoe Hills",56666,"WA","Electric utility","WT","WND"
"Goodwell Wind Project LLC",58998,"OK","Electric utility non-cogen","WT","WND"
"Gopher Creek Wind Farm",61417,"TX","Electric utility non-cogen","WT","WND"
"Gordon Butte Wind LLC",57748,"MT","Electric utility non-cogen","WT","WND"
"Goshen Phase II",57211,"ID","Electric utility non-cogen","WT","WND"
"Grady Wind Energy Center, LLC",60317,"NM","Electric utility non-cogen","WT","WND"
"Grand Meadow",56994,"MN","Electric utility","WT","WND"
"Grand Ridge Wind Energy Center",56941,"IL","Electric utility non-cogen","WT","WND"
"Grande Prairie Wind Farm",58695,"NE","Electric utility non-cogen","WT","WND"
"Grandview Wind Farm, LLC",58596,"TX","Electric utility non-cogen","WT","WND"
"Granite Reliable Power",58004,"NH","Electric utility non-cogen","WT","WND"
"Grant County Wind LLC",57274,"MN","Electric utility non-cogen","WT","WND"
"Grant Plains Wind, LLC",60545,"OK","Electric utility non-cogen","WT","WND"
"Grant Wind, LLC",60013,"OK","Electric utility non-cogen","WT","WND"
"Gratiot County Wind LLC",58677,"MI","Electric utility non-cogen","WT","WND"
"Gratiot Wind Park",57421,"MI","Electric utility","WT","WND"
"Gray County Wind Energy",55734,"KS","Electric utility non-cogen","WT","WND"
"Great Plains Windpark LLC",56905,"TX","Electric utility non-cogen","WT","WND"
"Great Western Wind Energy, LLC",60574,"OK","Electric utility non-cogen","WT","WND"
"Green Acres Breeze LLC",56590,"MN","Electric utility non-cogen","WT","WND"
"Green Energy Machine",60911,"IA","Electric utility non-cogen","WT","WND"
"Green Pastures Wind I",59732,"TX","Electric utility non-cogen","WT","WND"
"Green Pastures Wind II",59733,"TX","Electric utility non-cogen","WT","WND"
"Green Power I",55396,"CA","Electric utility non-cogen","WT","WND"
"Green River Wind Farm",60471,"IL","Electric utility non-cogen","WT","WND"
"Greenback Energy",56413,"MN","Electric utility non-cogen","WT","WND"
"Greenfield Wind",58458,"IA","Electric utility","WT","WND"
"Greenfield Wind - MT",60486,"MT","Electric utility non-cogen","WT","WND"
"Greensburg",57118,"KS","Electric utility non-cogen","WT","WND"
"Groton Wind LLC",58141,"NH","Electric utility non-cogen","WT","WND"
"Gunsight Mountain Wind Energy LLC",56776,"TX","Electric utility non-cogen","WT","WND"
"Hackberry Wind Farm",56823,"TX","Electric utility non-cogen","WT","WND"
"Hadley Ridge LLC",55573,"MN","Electric utility non-cogen","WT","WND"
"Hale Community Wind Farm",59247,"TX","Electric utility non-cogen","WT","WND"
"Hammett Hill Windfarm",57428,"ID","Electric utility non-cogen","WT","WND"
"Hancock County Wind Energy Center",56010,"IA","Electric utility non-cogen","WT","WND"
"Hancock Wind Plant",58686,"ME","Electric utility non-cogen","WT","WND"
"Happy Jack Windpower Project",56960,"WY","Electric utility non-cogen","WT","WND"
"Harbec Energy",62736,"NY","Industrial cogen","WT","WND"
"Harbor Wind LLC",58424,"TX","Electric utility non-cogen","WT","WND"
"Hardin Hilltop Wind LLC",56860,"IA","Electric utility non-cogen","WT","WND"
"Hardscrabble Wind Power LLC",57287,"NY","Electric utility non-cogen","WT","WND"
"Harpster Wind",60126,"OH","Commercial non-cogen","WT","WND"
"Harvest",56635,"MI","Electric utility non-cogen","WT","WND"
"Harvest 2",57888,"MI","Electric utility non-cogen","WT","WND"
"Harvest Wind Project",57152,"WA","Electric utility non-cogen","WT","WND"
"Hatchet Ridge Wind Project",56654,"CA","Electric utility non-cogen","WT","WND"
"Haviland Plastic Products",58220,"OH","Industrial non-cogen","WT","WND"
"Hawi Wind Farm",56447,"HI","Electric utility non-cogen","WT","WND"
"Hawkeye Power Partners LLC",55816,"IA","Electric utility non-cogen","WT","WND"
"Hawkeye Wind Farm",57832,"IA","Electric utility non-cogen","WT","WND"
"Hay Canyon Wind Power LLC",56790,"OR","Electric utility non-cogen","WT","WND"
"Headwaters Wind Farm LLC",58416,"IN","Electric utility non-cogen","WT","WND"
"Heartland Community College",59776,"IL","Commercial non-cogen","WT","WND"
"Heartland Divide Wind Project, LLC",61609,"IA","Electric utility non-cogen","WT","WND"
"Helzel & Schwarzhoff 86",56275,"CA","Electric utility non-cogen","WT","WND"
"Helzel & Schwarzhoff 88 Wind Farm",52165,"CA","Electric utility non-cogen","WT","WND"
"Heritage Garden Wind Farm I LLC",58103,"MI","Electric utility non-cogen","WT","WND"
"Hidalgo Wind Farm LLC",57617,"TX","Electric utility non-cogen","WT","WND"
"High Lonesome Mesa LLC",56945,"NM","Electric utility non-cogen","WT","WND"
"High Mesa",58019,"ID","Electric utility non-cogen","WT","WND"
"High Plains",56834,"TX","Electric utility non-cogen","WT","WND"
"High Plains",57040,"WY","Electric utility","WT","WND"
"High Sheldon Wind Farm",56953,"NY","Electric utility non-cogen","WT","WND"
"High Trail Wind Farm LLC",56338,"IL","Electric utility non-cogen","WT","WND"
"High Winds LLC",56075,"CA","Electric utility non-cogen","WT","WND"
"Highland North Wind Farm",57991,"PA","Electric utility non-cogen","WT","WND"
"Highland Wind Project (IA)",58883,"IA","Electric utility","WT","WND"
"Highland Wind Project (PA)",57139,"PA","Electric utility non-cogen","WT","WND"
"Hilltop Power",61788,"MN","Electric utility non-cogen","WT","WND"
"Hilltopper Wind Project",61735,"IL","Electric utility non-cogen","WT","WND"
"Hog Creek Wind Project",61330,"OH","Electric utility non-cogen","WT","WND"
"Holiday Hill Community Wind",62897,"MA","Electric utility non-cogen","WT","WND"
"Hoopeston Wind LLC",59021,"IL","Electric utility non-cogen","WT","WND"
"Hoosier Wind Project LLC",56878,"IN","Electric utility non-cogen","WT","WND"
"Hope Creek LLC",55572,"MN","Electric utility non-cogen","WT","WND"
"Hopkins Ridge Wind",56255,"WA","Electric utility","WT","WND"
"Horse Butte Wind I, LLC",57890,"ID","Electric utility","WT","WND"
"Horse Creek Wind Farm",60339,"TX","Electric utility non-cogen","WT","WND"
"Horse Hollow Wind Energy Center",56291,"TX","Electric utility non-cogen","WT","WND"
"Horseshoe Bend Wind LLC",57550,"OR","Electric utility non-cogen","WT","WND"
"Horseshoe Bend Wind Park",56591,"MT","Electric utility non-cogen","WT","WND"
"Howard Wind Farm",57867,"NY","Electric utility non-cogen","WT","WND"
"Huerfano River Wind",58548,"CO","Electric utility non-cogen","WT","WND"
"Hull Wind II",56800,"MA","Electric utility","WT","WND"
"Ida Grove II",62795,"IA","Electric utility","WT","WND"
"Ida Grove Wind",60342,"IA","Electric utility","WT","WND"
"Inadale Wind Farm LLC Hybrid",56984,"TX","Electric utility non-cogen","WT","WND"
"Intrepid",56251,"IA","Electric utility","WT","WND"
"Iowa Distributed Wind Generation Project",7966,"IA","Electric utility","WT","WND"
"Iowa Lakes Community College Wind Farm",57257,"IA","Commercial non-cogen","WT","WND"
"Iowa Lakes Superior Wind Farm",57252,"IA","Electric utility","WT","WND"
"Ipswich Wind Independence",59023,"MA","Electric utility non-cogen","WT","WND"
"Ipswich Wind Turbine",57855,"MA","Electric utility","WT","WND"
"Ironwood Wind",57639,"KS","Electric utility non-cogen","WT","WND"
"Ivester Wind Farm",61911,"IA","Electric utility","WT","WND"
"Jack River LLC",55565,"MN","Electric utility non-cogen","WT","WND"
"Javelina Wind Energy II, LLC",60645,"TX","Electric utility non-cogen","WT","WND"
"Javelina Wind Energy, LLC",60104,"TX","Electric utility non-cogen","WT","WND"
"Jeffers Wind 20 LLC",56750,"MN","Electric utility non-cogen","WT","WND"
"Jericho Power",59070,"NH","Electric utility non-cogen","WT","WND"
"Jericho Rise Wind Farm LLC",59629,"NY","Electric utility non-cogen","WT","WND"
"Jersey-Atlantic Wind Farm",56300,"NJ","Electric utility non-cogen","WT","WND"
"Jessica Mills LLC",55564,"MN","Electric utility non-cogen","WT","WND"
"Jett Creek Windfarm (Burnt River)",59490,"OR","Electric utility non-cogen","WT","WND"
"Jiminy Peak Wind QF",62570,"MA","Electric utility non-cogen","WT","WND"
"Judith Gap Wind Energy Center",56377,"MT","Electric utility non-cogen","WT","WND"
"Julia Hills LLC",55563,"MN","Electric utility non-cogen","WT","WND"
"Junction Hilltop Wind Farm",58444,"IA","Electric utility non-cogen","WT","WND"
"Juniper Canyon I Wind Project",57320,"WA","Electric utility non-cogen","WT","WND"
"K&D Energy LLC",56626,"MN","Electric utility non-cogen","WT","WND"
"K-Brink Windfarm LLC",56206,"MN","Electric utility non-cogen","WT","WND"
"KC Energy LLC",56625,"MN","Electric utility non-cogen","WT","WND"
"KODE Novus I",57516,"OK","Electric utility non-cogen","WT","WND"
"KODE Novus II",57889,"OK","Electric utility non-cogen","WT","WND"
"KSS Turbines LLC",56627,"MN","Electric utility non-cogen","WT","WND"
"Kaheawa Pastures Wind Farm",56449,"HI","Electric utility non-cogen","WT","WND"
"Kaheawa Wind Power II LLC",57082,"HI","Electric utility non-cogen","WT","WND"
"Kahuku Wind Power LLC",57087,"HI","Electric utility non-cogen","WT","WND"
"Karankawa Wind LLC",61343,"TX","Electric utility non-cogen","WT","WND"
"Karen Avenue Wind Farm",10718,"CA","Electric utility non-cogen","WT","WND"
"Kas Brothers Windfarm",55809,"MN","Electric utility non-cogen","WT","WND"
"Kawailoa Wind",57529,"HI","Electric utility non-cogen","WT","WND"
"Kay Wind, LLC",59460,"OK","Electric utility non-cogen","WT","WND"
"Keechi Wind",58838,"TX","Electric utility non-cogen","WT","WND"
"Keenan II Renewable Energy Co LLC",57358,"OK","Electric utility non-cogen","WT","WND"
"Kelly Creek Wind Project",60587,"IL","Electric utility non-cogen","WT","WND"
"Kibby Wind Facility",56829,"ME","Electric utility non-cogen","WT","WND"
"Kimball Wind",56106,"NE","Electric utility non-cogen","WT","WND"
"King Mountain Wind Ranch 1",55581,"TX","Electric utility non-cogen","WT","WND"
"Kingdom Community Wind",57979,"VT","Electric utility","WT","WND"
"Kingfisher Wind LLC",58902,"OK","Electric utility non-cogen","WT","WND"
"Kingman 1",57775,"AZ","Electric utility non-cogen","WT,PV","WND,SUN"
"Kingman Wind",60639,"KS","Electric utility non-cogen","WT","WND"
"Kingston Wind Independence",59022,"MA","Electric utility non-cogen","WT","WND"
"Kirkwood Wind Turbine",59735,"IA","Electric utility non-cogen","WT","WND"
"Kit Carson Windpower",57244,"CO","Electric utility non-cogen","WT","WND"
"Klondike Wind Power",55871,"OR","Electric utility non-cogen","WT","WND"
"Klondike Windpower II",56359,"OR","Electric utility non-cogen","WT","WND"
"Klondike Windpower III",56468,"OR","Electric utility non-cogen","WT","WND"
"Kotzebue Hybrid",6304,"AK","Electric utility","WT,IC","WND,DFO"
"Kumeyaay Wind",56295,"CA","Electric utility non-cogen","WT","WND"
"LE Wind Turbine 1",57613,"OH","Industrial non-cogen","WT","WND"
"Lake Benton I",55208,"MN","Electric utility non-cogen","WT","WND"
"Lake Benton II",55265,"MN","Electric utility non-cogen","WT","WND"
"Lake Region Community Hybrid, LLC",62442,"MN","Electric utility non-cogen","WT,PV","WND,SUN"
"Lake Winds Energy Park",57984,"MI","Electric utility","WT","WND"
"Lakefield Wind Project LLC",57374,"MN","Electric utility non-cogen","WT","WND"
"Lakeswind Power Partners",58836,"MN","Electric utility non-cogen","WT","WND"
"Lakota Ridge LLC",55353,"MN","Electric utility non-cogen","WT","WND"
"Lakota Wind Wind Farm",57251,"IA","Electric utility","WT","WND"
"Lamar Plant",508,"CO","Electric utility","WT","WND"
"Langdon Renewables, LLC",56605,"ND","Electric utility non-cogen","WT","WND"
"Langdon Wind Energy Center",57033,"ND","Electric utility","WT","WND"
"Langdon Wind II LLC",56912,"ND","Electric utility non-cogen","WT","WND"
"Langford Wind Power",57153,"TX","Electric utility non-cogen","WT","WND"
"Laredo Ridge Wind LLC",57262,"NE","Electric utility non-cogen","WT","WND"
"Latigo Wind Park",59965,"UT","Electric utility non-cogen","WT","WND"
"Laurel Hill Wind",57744,"PA","Electric utility non-cogen","WT","WND"
"Laurel Mountain Hybrid",57447,"WV","Electric utility non-cogen","WT,BA","WND,MWH"
"Laurel Wind Farm",57500,"IA","Electric utility","WT","WND"
"Leaning Juniper",56360,"OR","Electric utility","WT","WND"
"Leaning Juniper Wind Power II",57333,"OR","Electric utility non-cogen","WT","WND"
"Lempster Wind LLC",56399,"NH","Electric utility non-cogen","WT","WND"
"Leonardo Wind 1 LLC",59228,"IA","Electric utility non-cogen","WT","WND"
"Lightolier Wind I Turbine",59639,"MA","Industrial non-cogen","WT","WND"
"Lime Wind",57803,"OR","Electric utility non-cogen","WT","WND"
"Limon III Wind LLC",59083,"CO","Electric utility non-cogen","WT","WND"
"Limon Wind I",58126,"CO","Electric utility non-cogen","WT","WND"
"Limon Wind II",58127,"CO","Electric utility non-cogen","WT","WND"
"Lincoln Heights I",63432,"MN","Electric utility non-cogen","WT","WND"
"Lincoln Heights II",63433,"MN","Electric utility non-cogen","WT","WND"
"Lincoln Turbines",7366,"WI","Electric utility","WT","WND"
"Lindahl Wind Project, LLC",59684,"ND","Electric utility non-cogen","WT","WND"
"Linden Wind Energy Project",57635,"WA","Electric utility","WT","WND"
"Little Elk Wind Project LLC",58999,"OK","Electric utility non-cogen","WT","WND"
"Little Pringle I Wind Farm",57263,"TX","Electric utility non-cogen","WT","WND"
"Little Pringle II Wind Farm",57264,"TX","Electric utility non-cogen","WT","WND"
"Live Oak Wind Project",61782,"TX","Electric utility non-cogen","WT","WND"
"Llano Estacado Wind Ranch",55579,"TX","Electric utility non-cogen","WT","WND"
"Lockett Windfarm",62356,"TX","Electric utility non-cogen","WT","WND"
"Locust Ridge",56470,"PA","Electric utility non-cogen","WT","WND"
"Locust Ridge II LLC",56770,"PA","Electric utility non-cogen","WT","WND"
"Loess Hills",56538,"MO","Electric utility non-cogen","WT","WND"
"Logan Wind Energy",56613,"CO","Electric utility non-cogen","WT","WND"
"Logans Gap Wind LLC",59442,"TX","Electric utility non-cogen","WT","WND"
"Lon Wright",2240,"NE","Electric utility","WT,GT,PV,ST","WND,NG,SUN,SUB"
"Longhorn Wind",58772,"TX","Electric utility non-cogen","WT","WND"
"Lookout Windpower LLC",56700,"PA","Electric utility non-cogen","WT","WND"
"Loraine Windpark Project LLC",57303,"TX","Electric utility non-cogen","WT","WND"
"Lorenzo Wind",59244,"TX","Electric utility non-cogen","WT","WND"
"Los Vientos V Wind Power",60059,"TX","Electric utility non-cogen","WT","WND"
"Los Vientos Wind 1A",57751,"TX","Electric utility non-cogen","WT","WND"
"Los Vientos Wind 1B",57752,"TX","Electric utility non-cogen","WT","WND"
"Los Vientos Windpower III",59320,"TX","Electric utility non-cogen","WT","WND"
"Los Vientos Windpower IV",59321,"TX","Electric utility non-cogen","WT","WND"
"Lost Creek Wind Energy Facility",57189,"MO","Electric utility non-cogen","WT","WND"
"Lost Lakes Wind Farm LLC",57111,"IA","Electric utility non-cogen","WT","WND"
"Lower Snake River Wind Energy Project",57195,"WA","Electric utility","WT","WND"
"Lubbock Wind Ranch",57259,"TX","Electric utility non-cogen","WT","WND"
"Lucky Wind",56412,"MN","Electric utility non-cogen","WT","WND"
"Lundgren Wind Project",58884,"IA","Electric utility","WT","WND"
"Luther College Wind Project",58407,"IA","Electric utility non-cogen","WT","WND"
"Luverne Wind Energy Center",57031,"ND","Electric utility","WT","WND"
"MA Military Reservation Wind Project",57253,"MA","Electric utility non-cogen","WT","WND"
"Macho Springs Power I",57947,"NM","Electric utility non-cogen","WT","WND"
"Macksburg Wind Project",58885,"IA","Electric utility","WT","WND"
"Madison Windpower LLC",55769,"NY","Electric utility non-cogen","WT","WND"
"Magic Valley Wind Farm I LLC",57802,"TX","Electric utility non-cogen","WT","WND"
"Mainline Windfarm",57429,"ID","Electric utility non-cogen","WT","WND"
"Majestic 1 Wind Farm",56648,"TX","Electric utility non-cogen","WT","WND"
"Majestic II Wind",58363,"TX","Electric utility non-cogen","WT","WND"
"Mammoth Plains",59284,"OK","Electric utility non-cogen","WT","WND"
"Manzana Wind LLC",57484,"CA","Electric utility non-cogen","WT","WND"
"Maple Ridge Wind Farm",56290,"NY","Electric utility non-cogen","WT","WND"
"Marble River Wind Farm",56857,"NY","Electric utility non-cogen","WT","WND"
"Marengo Wind Plant",56466,"WA","Electric utility","WT","WND"
"Mariah del Norte",59005,"TX","Electric utility non-cogen","WT","WND"
"Mars Hill Wind Farm Project",56448,"ME","Electric utility non-cogen","WT","WND"
"Marsh Hill Wind Farm",58768,"NY","Electric utility non-cogen","WT","WND"
"Marshall Wind 1 LLC",56840,"MN","Electric utility non-cogen","WT","WND"
"Marshall Wind 2 LLC",56824,"MN","Electric utility non-cogen","WT","WND"
"Marshall Wind 3 LLC",56825,"MN","Electric utility non-cogen","WT","WND"
"Marshall Wind 4 LLC",56826,"MN","Electric utility non-cogen","WT","WND"
"Marshall Wind 5 LLC",56827,"MN","Electric utility non-cogen","WT","WND"
"Marshall Wind 6 LLC",56828,"MN","Electric utility non-cogen","WT","WND"
"Marshall Wind Farm",59084,"KS","Electric utility non-cogen","WT","WND"
"McAdoo Wind Energy LLC",56773,"TX","Electric utility non-cogen","WT","WND"
"McFadden Ridge",57039,"WY","Electric utility","WT","WND"
"McKinley Wind Park",57853,"MI","Electric utility","WT","WND"
"Meadow Creek Project Company",58106,"ID","Electric utility non-cogen","WT","WND"
"Meadow Lake Wind Farm II LLC",57112,"IN","Electric utility non-cogen","WT","WND"
"Meadow Lake Wind Farm III LLC",57115,"IN","Electric utility non-cogen","WT","WND"
"Meadow Lake Wind Farm IV",57177,"IN","Electric utility non-cogen","WT","WND"
"Meadow Lake Wind Farm LLC",57109,"IN","Electric utility non-cogen","WT","WND"
"Meadow Lake Wind Farm V LLC",57628,"IN","Electric utility non-cogen","WT","WND"
"Meadow Lake Wind Farm VI LLC",61756,"IN","Electric utility non-cogen","WT","WND"
"Meadow Ridge",58459,"IA","Electric utility non-cogen","WT","WND"
"Medicine Bow",692,"WY","Electric utility non-cogen","WT","WND"
"Mehoopany Wind Energy LLC",57769,"PA","Electric utility non-cogen","WT","WND"
"Mendota Hills, LLC",56160,"IL","Electric utility non-cogen","WT","WND"
"Mesa Wind Power Corp",50535,"CA","Electric utility non-cogen","WT","WND"
"Mesalands Comm College Wind Turbine",57106,"NM","Commercial non-cogen","WT","WND"
"Mesquite Creek Wind",59332,"TX","Electric utility non-cogen","WT","WND"
"Mesquite Wind Power LLC",56395,"TX","Electric utility non-cogen","WT","WND"
"Mesteno",62258,"TX","Electric utility non-cogen","WT","WND"
"Meyersdale Windpower, LLC",56052,"PA","Electric utility non-cogen","WT","WND"
"Miami Wind Energy Center",58765,"TX","Electric utility non-cogen","WT","WND"
"Michelangelo Wind 1 LLC",59231,"IA","Electric utility non-cogen","WT","WND"
"Michelangelo Wind 3 LLC",59053,"IA","Electric utility non-cogen","WT","WND"
"Michelangelo Wind 4 LLC",59232,"IA","Electric utility non-cogen","WT","WND"
"Michigan Wind 1",56416,"MI","Electric utility non-cogen","WT","WND"
"Michigan Wind 2",56659,"MI","Electric utility non-cogen","WT","WND"
"Midway Wind, LLC",61776,"TX","Electric utility non-cogen","WT","WND"
"Milford Wind Corridor I LLC",57079,"UT","Electric utility non-cogen","WT","WND"
"Milford Wind Corridor Stage II LLC",57107,"UT","Electric utility non-cogen","WT","WND"
"Mill Run Windpower LLC",55805,"PA","Electric utility non-cogen","WT","WND"
"Milner Dam Wind Park LLC",56437,"ID","Electric utility non-cogen","WT","WND"
"Milo Wind Project LLC",59838,"NM","Electric utility non-cogen","WT","WND"
"Minco Wind I, LLC",57590,"OK","Electric utility non-cogen","WT","WND"
"Minco Wind II, LLC",57956,"OK","Electric utility non-cogen","WT","WND"
"Minco Wind III, LLC",58203,"OK","Electric utility non-cogen","WT","WND"
"Minco Wind IV, LLC",61836,"OK","Electric utility non-cogen","WT","WND"
"Minden Wind Park",57852,"MI","Electric utility","WT","WND"
"MinnDakota Wind LLC",56459,"MN","Electric utility non-cogen","WT","WND"
"Minnesota Breeze LLC",56587,"MN","Electric utility non-cogen","WT","WND"
"Minonk Wind Farm",57284,"IL","Electric utility non-cogen","WT","WND"
"Minot Wind Project",55995,"ND","Electric utility","WT","WND"
"Minwind",56002,"MN","Electric utility non-cogen","WT","WND"
"Minwind 3-9",56123,"MN","Electric utility non-cogen","WT","WND"
"Mojave 16",50821,"CA","Electric utility non-cogen","WT","WND"
"Mojave 17",50822,"CA","Electric utility non-cogen","WT","WND"
"Mojave 18",50823,"CA","Electric utility non-cogen","WT","WND"
"Mojave 3",52143,"CA","Electric utility non-cogen","WT","WND"
"Mojave 4",52142,"CA","Electric utility non-cogen","WT","WND"
"Mojave 5",52144,"CA","Electric utility non-cogen","WT","WND"
"Montague Wind Power Facility LLC",58099,"OR","Electric utility non-cogen","WT","WND"
"Montezuma Wind II",57701,"CA","Electric utility non-cogen","WT","WND"
"Montfort Wind Energy Center",55742,"WI","Electric utility","WT","WND"
"Moorhead Wind Turbine",7855,"MN","Electric utility","WT","WND"
"Moraine II Wind LLC",56794,"MN","Electric utility non-cogen","WT","WND"
"Moraine Wind LLC",56174,"MN","Electric utility non-cogen","WT","WND"
"Morning Light Wind Farm",57875,"IA","Electric utility","WT","WND"
"Moulton Wind Power",55981,"MN","Electric utility non-cogen","WT","WND"
"Mountain Home",56636,"ID","Electric utility non-cogen","WT","WND"
"Mountain Lake",1998,"MN","Electric utility","WT,IC","WND,NG,DFO"
"Mountain View I&2",55719,"CA","Electric utility non-cogen","WT","WND"
"Mountain View III",56112,"CA","Electric utility non-cogen","WT","WND"
"Mountain View IV",57459,"CA","Electric utility non-cogen","WT","WND"
"Mountain Wind Power II LLC",56753,"WY","Electric utility non-cogen","WT","WND"
"Mountain Wind Power LLC",56752,"WY","Electric utility non-cogen","WT","WND"
"Mountaineer Wind Energy Center",55986,"WV","Electric utility non-cogen","WT","WND"
"Mower County Wind Energy Center",56424,"MN","Electric utility non-cogen","WT","WND"
"Mt Wachusett Community College",58025,"MA","Commercial non-cogen","WT","WND"
